"Name";"ReleaseDate";"Action";"Adventure";"Children";"Comedy";"Crime";"Documentary";"Drama";"Fantasy";"Noir";"Horror";"Musical";"Mystery";"Romance";"SciFi";"Thriller";"War";"Western";"AvgRating";"Watches"
"1080";"Glengarry Glen Ross (1992)";1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.88;571
"1081";"Sophie's Choice (1982)";1982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.98;344
"1082";"E.T. the Extra-Terrestrial (1982)";1982;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;3.97;2269
"1083";"Search for One-eye Jimmy, The (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;5
"1084";"Christmas Carol, A (1938)";1938;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.99;194
"1085";"Days of Thunder (1990)";1990;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.81;420
"1086";"Top Gun (1986)";1986;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.69;1010
"1087";"American Strays (1996)";1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
"1088";"Rebel Without a Cause (1955)";1955;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.92;402
"1089";"Streetcar Named Desire, A (1951)";1951;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.23;483
"1090";"Children of the Corn IV: The Gathering (1996)";1996;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.79;42
"1091";"Leopard Son, The (1996)";1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1092";"Loser (1991)";1991;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
"1093";"Prerokbe Ognja (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1094";"Charm's Incidents (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1095";"Bird of Prey (1996)";1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1096";"Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)";1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.1;94
"1097";"Palookaville (1996)";1996;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.43;35
"1098";"Associate, The (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;50
"1099";"Funeral, The (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.87;31
"1100";"Sleepover (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
"1101";"Single Girl, A (La Fille Seule) (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.41;17
"1102";"Eighth Day, The (Le Huiti?e jour ) (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.25;12
"1103";"Tashunga (1995)";1995;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1
"1104";"Drunks (1997)";1997;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.21;34
"1105";"People vs. Larry Flynt, The (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.58;456
"1106";"Glory Daze (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.08;13
"1107";"Plutonium Circus (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1108";"Perfect Candidate, A (1996)";1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.73;33
"1109";"On Golden Pond (1981)";1981;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.74;405
"1110";"Return of the Pink Panther, The (1974)";1974;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.78;385
"1111";"Drop Dead Fred (1991)";1991;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2.37;317
"1112";"Abyss, The (1989)";1989;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3.68;1715
"1113";"Fog, The (1980)";1980;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.92;170
"1114";"Escape from New York (1981)";1981;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3.46;884
"1115";"Howling, The (1980)";1980;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3.26;231
"1116";"Jean de Florette (1986)";1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.32;216
"1117";"Manon of the Spring (Manon des sources) (1986)";1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.26;220
"1118";"Talking About Sex (1994)";1994;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2
"1119";"Johnny 100 Pesos (1993)";1993;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2
"1120";"Private Benjamin (1980)";1980;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.19;407
"1121";"Monty Python and the Holy Grail (1974)";1974;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.34;1599
"1122";"Hustler White (1996)";1996;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
"1123";"Dadetown (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.86;7
"1124";"Everything Relative (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;2
"1125";"Entertaining Angels: The Dorothy Day Story (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1126";"Hoogste tijd (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1127";"Get Over It (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
"1128";"Three Lives and Only One Death (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1129";"Line King: Al Hirschfeld, The (1996)";1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.75;16
"1130";"Snowriders (1996)";1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.5;2
"1131";"Curtis's Charm (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1132";"When We Were Kings (1996)";1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.32;277
"1133";"Wrong Trousers, The (1993)";1993;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.51;882
"1134";"JLG/JLG - autoportrait de d?embre (1994)";1994;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3.5;4
"1135";"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)";1982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.93;158
"1136";"Faust (1994)";1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3.48;31
"1137";"He Walked by Night (1948)";1948;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3.48;29
"1138";"Raw Deal (1948)";1948;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3.43;14
"1139";"T-Men (1947)";1947;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3.73;15
"1140";"Invitation, The (Zaproszenie) (1986)";1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1141";"Children Are Watching us, The (Bambini ci guardano, I) (1942)";1942;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1142";"Symphonie pastorale, La (1946)";1946;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1143";"Here Comes Cookie (1935)";1935;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1144";"Love in Bloom (1935)";1935;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
"1145";"Six of a Kind (1934)";1934;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.17;6
"1146";"Tin Drum, The (Blechtrommel, Die) (1979)";1979;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.95;94
"1147";"Ruling Class, The (1972)";1972;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.91;96
"1148";"Mina Tannenbaum (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.95;19
"1149";"Two or Three Things I Know About Her (1966)";1966;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.6;5
"1150";"Bloody Child, The (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
"1151";"Farmer & Chase (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1152";"Dear God (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;94
"1153";"Bad Moon (1996)";1996;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.06;18
"1154";"American Dream (1990)";1990;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.72;36
"1155";"Best of the Best 3: No Turning Back (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.65;17
"1156";"Bob Roberts (1992)";1992;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.73;415
"1157";"Cinema Paradiso (1988)";1988;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;4.29;615
"1158";"Cook the Thief His Wife & Her Lover, The (1989)";1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.35;198
"1159";"Grosse Fatigue (1994)";1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.8;5
"1160";"Delicatessen (1991)";1991;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;4;368
"1161";"Double Life of Veronique, The (La Double Vie de V?onique) (1991)";1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.94;129
"1162";"Enchanted April (1991)";1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.99;147
"1163";"Paths of Glory (1957)";1957;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.47;230
"1164";"Grifters, The (1990)";1990;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;3.79;885
"1165";"Hear My Song (1991)";1991;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.84;50
"1166";"Shooter, The (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.9;10
"1167";"English Patient, The (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;3.61;989
"1168";"Mediterraneo (1991)";1991;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3.8;91
"1169";"My Left Foot (1989)";1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.96;453
"1170";"Sex, Lies, and Videotape (1989)";1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.61;562
"1171";"Passion Fish (1992)";1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.66;147
"1172";"Strictly Ballroom (1992)";1992;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.95;676
"1173";"Thin Blue Line, The (1988)";1988;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.25;269
"1174";"Tie Me Up! Tie Me Down! (1990)";1990;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.51;132
"1175";"Madonna: Truth or Dare (1991)";1991;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.06;209
"1176";"Paris Is Burning (1990)";1990;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.03;105
"1177";"One Flew Over the Cuckoo's Nest (1975)";1975;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.39;1725
"1178";"Up in Smoke (1978)";1978;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.48;212
"1179";"Star Wars: Episode V - The Empire Strikes Back (1980)";1980;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;4.29;2990
"1180";"Princess Bride, The (1987)";1987;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.3;2318
"1181";"Raiders of the Lost Ark (1981)";1981;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.48;2514
"1182";"Brazil (1985)";1985;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.1;913
"1183";"Aliens (1986)";1986;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;4.13;1820
"1184";"Good, The Bad and The Ugly, The (1966)";1966;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.13;822
"1185";"Withnail and I (1987)";1987;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.61;72
"1186";"12 Angry Men (1957)";1957;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.3;616
"1187";"Lawrence of Arabia (1962)";1962;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4.4;831
"1188";"Transformers: The Movie, The (1986)";1986;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3.38;231
"1189";"Clockwork Orange, A (1971)";1971;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.08;1229
"1190";"To Kill a Mockingbird (1962)";1962;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.43;928
"1191";"Apocalypse Now (1979)";1979;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.24;1176
"1192";"Once Upon a Time in the West (1969)";1969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.02;173
"1193";"Star Wars: Episode VI - Return of the Jedi (1983)";1983;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;4.02;2883
"1194";"Wings of Desire (Der Himmel ?er Berlin) (1987)";1987;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;4.11;242
"1195";"Third Man, The (1949)";1949;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.45;480
"1196";"GoodFellas (1990)";1990;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4.28;1657
"1197";"Alien (1979)";1979;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.16;2024
"1198";"Army of Darkness (1993)";1993;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;3.8;945
"1199";"Big Blue, The (Le Grand Bleu) (1988)";1988;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.66;87
"1200";"Ran (1985)";1985;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.27;357
"1201";"Killer, The (Die xue shuang xiong) (1989)";1989;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4.2;244
"1202";"Psycho (1960)";1960;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4.22;1263
"1203";"Blues Brothers, The (1980)";1980;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.94;1341
"1204";"Godfather: Part II, The (1974)";1974;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4.36;1692
"1205";"Full Metal Jacket (1987)";1987;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.11;1254
"1206";"Grand Day Out, A (1992)";1992;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.36;473
"1207";"Henry V (1989)";1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.29;426
"1208";"Amadeus (1984)";1984;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.25;1382
"1209";"Quiet Man, The (1952)";1952;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.05;226
"1210";"Once Upon a Time in America (1984)";1984;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3.86;241
"1211";"Raging Bull (1980)";1980;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.19;677
"1212";"Annie Hall (1977)";1977;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.14;1334
"1213";"Right Stuff, The (1983)";1983;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.08;750
"1214";"Stalker (1979)";1979;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3.63;52
"1215";"Boat, The (Das Boot) (1981)";1981;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.3;1001
"1216";"Sting, The (1973)";1973;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4.32;1049
"1217";"Harold and Maude (1971)";1971;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.16;697
"1218";"Trust (1990)";1990;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4.19;90
"1219";"Seventh Seal, The (Sjunde inseglet, Det) (1957)";1957;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.23;299
"1220";"Local Hero (1983)";1983;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;351
"1221";"Terminator, The (1984)";1984;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4.15;2098
"1222";"Braindead (1992)";1992;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3.36;70
"1223";"Glory (1989)";1989;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.19;1112
"1224";"Rosencrantz and Guildenstern Are Dead (1990)";1990;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.98;325
"1225";"Manhattan (1979)";1979;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;4.08;718
"1226";"Miller's Crossing (1990)";1990;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.01;358
"1227";"Dead Poets Society (1989)";1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.01;855
"1228";"Graduate, The (1967)";1967;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.25;1261
"1229";"Touch of Evil (1958)";1958;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;4.22;514
"1230";"Nikita (La Femme Nikita) (1990)";1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4.01;733
"1231";"Bridge on the River Kwai, The (1957)";1957;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.39;938
"1232";"8 1/2 (1963)";1963;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.11;228
"1233";"Chinatown (1974)";1974;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;4.34;1185
"1234";"Day the Earth Stood Still, The (1951)";1951;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;4.14;559
"1235";"Treasure of the Sierra Madre, The (1948)";1948;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.29;453
"1236";"Bad Taste (1987)";1987;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3.41;54
"1237";"Duck Soup (1933)";1933;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4.21;594
"1238";"Better Off Dead... (1985)";1985;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.92;472
"1239";"Shining, The (1980)";1980;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4.1;1087
"1240";"Stand by Me (1986)";1986;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4.1;1785
"1241";"M (1931)";1931;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;4.3;308
"1242";"Evil Dead II (Dead By Dawn) (1987)";1987;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3.83;548
"1243";"Great Escape, The (1963)";1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4.38;696
"1244";"Deer Hunter, The (1978)";1978;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.11;700
"1245";"Diva (1981)";1981;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;4.05;257
"1246";"Groundhog Day (1993)";1993;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.95;2278
"1247";"Unforgiven (1992)";1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.09;997
"1248";"Manchurian Candidate, The (1962)";1962;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4.33;765
"1249";"Pump Up the Volume (1990)";1990;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.49;317
"1250";"Arsenic and Old Lace (1944)";1944;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;4.17;672
"1251";"Back to the Future (1985)";1985;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3.99;2583
"1252";"Fried Green Tomatoes (1991)";1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.81;593
"1253";"Patton (1970)";1970;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.27;645
"1254";"Down by Law (1986)";1986;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.97;146
"1255";"Akira (1988)";1988;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3.93;452
"1256";"Highlander (1986)";1986;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.85;741
"1257";"Cool Hand Luke (1967)";1967;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4.25;930
"1258";"Cyrano de Bergerac (1990)";1990;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.88;363
"1259";"Young Frankenstein (1974)";1974;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4.25;1193
"1260";"Night on Earth (1991)";1991;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.75;194
"1261";"Raise the Red Lantern (1991)";1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.17;277
"1262";"Great Dictator, The (1940)";1940;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.03;216
"1263";"Fantasia (1940)";1940;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.9;943
"1264";"High Noon (1952)";1952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.18;403
"1265";"Big Sleep, The (1946)";1946;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4.31;541
"1266";"Heathers (1989)";1989;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.82;803
"1267";"Somewhere in Time (1980)";1980;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.59;285
"1268";"Ben-Hur (1959)";1959;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.11;704
"1269";"This Is Spinal Tap (1984)";1984;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;4.18;1118
"1270";"Koyaanisqatsi (1983)";1983;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3.97;182
"1271";"Some Kind of Wonderful (1987)";1987;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.59;230
"1272";"Indiana Jones and the Last Crusade (1989)";1989;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.13;1628
"1273";"Being There (1979)";1979;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.01;591
"1274";"Gandhi (1982)";1982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.14;671
"1275";"M*A*S*H (1970)";1970;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4.12;1099
"1276";"Unbearable Lightness of Being, The (1988)";1988;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.57;266
"1277";"Room with a View, A (1986)";1986;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4;560
"1278";"Real Genius (1985)";1985;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.71;442
"1279";"Pink Floyd - The Wall (1982)";1982;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;3.64;387
"1280";"Killing Fields, The (1984)";1984;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.25;732
"1281";"My Life as a Dog (Mitt liv som hund) (1985)";1985;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.15;330
"1282";"Forbidden Planet (1956)";1956;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3.98;373
"1283";"Field of Dreams (1989)";1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.91;768
"1284";"Man Who Would Be King, The (1975)";1975;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.13;310
"1285";"Butch Cassidy and the Sundance Kid (1969)";1969;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4.22;1419
"1286";"Paris, Texas (1984)";1984;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.79;121
"1287";"Until the End of the World (Bis ans Ende der Welt) (1991)";1991;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3.6;136
"1288";"When Harry Met Sally... (1989)";1989;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.07;1568
"1289";"I Shot a Man in Vegas (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1290";"Parallel Sons (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.5801;0
"1291";"Hype! (1996)";1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.56;43
"1292";"Santa with Muscles (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7
"1293";"Female Perversions (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.24;29
"1294";"Mad Dog Time (1996)";1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2.15;13
"1295";"Breathing Room (1996)";1996;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
"1296";"Paris Was a Woman (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.33;3
"1297";"Anna (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1
"1298";"I'm Not Rappaport (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.18;40
"1299";"Blue Juice (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1300";"Kids of Survival (1993)";1993;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"1301";"Alien? (1992)";1992;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;3.04;925
"1302";"American Werewolf in London, An (1981)";1981;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3.75;549
